file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\main\java\org\springframework\batch\core\job\flow\FlowHolder.java,org.springframework.batch.core.job.flow.FlowHolder,getFlows/0,false,28,1,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\test\repository\MySQLJdbcJobRepositoryIntegrationTests.java,org.springframework.batch.core.test.repository.MySQLJdbcJobRepositoryIntegrationTests$TestConfiguration,dataSource/0,false,127,2,0,0,0,1,7,8,1,1,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\test\repository\MySQLJdbcJobRepositoryIntegrationTests.java,org.springframework.batch.core.test.repository.MySQLJdbcJobRepositoryIntegrationTests$TestConfiguration,transactionManager/1[javax.sql.DataSource],false,137,2,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\test\repository\MySQLJdbcJobRepositoryIntegrationTests.java,org.springframework.batch.core.test.repository.MySQLJdbcJobRepositoryIntegrationTests$TestConfiguration,conversionService/0,false,151,4,0,0,0,2,2,15,2,3,0,2,0,0,0,0,1,0,1,0,2,0,2,0,0,1,14,1,0,false
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\test\repository\MySQLJdbcJobRepositoryIntegrationTests.java,org.springframework.batch.core.test.repository.MySQLJdbcJobRepositoryIntegrationTests$TestConfiguration,"job/2[org.springframework.batch.core.test.repository.JobRepository,org.springframework.batch.core.test.repository.PlatformTransactionManager]",false,142,7,0,0,0,1,3,6,1,2,2,3,0,0,0,0,0,0,3,0,0,0,1,0,0,1,8,1,0,false
C:\Users\All Five Projects\spring-batch-main\spring-batch-samples\src\main\java\org\springframework\batch\samples\file\multirecordtype\DelegatingTradeLineAggregator.java,org.springframework.batch.samples.file.multirecordtype.DelegatingTradeLineAggregator,aggregate/1[java.lang.Object],false,34,2,0,0,0,3,1,11,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1,0,false
C:\Users\All Five Projects\spring-batch-main\spring-batch-samples\src\main\java\org\springframework\batch\samples\file\multirecordtype\DelegatingTradeLineAggregator.java,org.springframework.batch.samples.file.multirecordtype.DelegatingTradeLineAggregator,setTradeLineAggregator/1[org.springframework.batch.samples.file.multirecordtype.LineAggregator<org.springframework.batch.samples.domain.trade.Trade>],false,46,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\Users\All Five Projects\spring-batch-main\spring-batch-samples\src\main\java\org\springframework\batch\samples\file\multirecordtype\DelegatingTradeLineAggregator.java,org.springframework.batch.samples.file.multirecordtype.DelegatingTradeLineAggregator,setCustomerLineAggregator/1[org.springframework.batch.samples.file.multirecordtype.LineAggregator<org.springframework.batch.samples.domain.trade.CustomerCredit>],false,50,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\Users\All Five Projects\spring-batch-main\spring-batch-samples\src\main\java\org\springframework\batch\samples\jpa\CustomerCreditPagingAndSortingRepository.java,org.springframework.batch.samples.jpa.CustomerCreditPagingAndSortingRepository,"findByCreditGreaterThan/2[java.math.BigDecimal,org.springframework.batch.samples.jpa.Pageable]",false,27,3,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,false
C:\Users\All Five Projects\spring-batch-main\spring-batch-infrastructure\src\test\java\org\springframework\batch\item\file\SimpleResourceSuffixCreatorTests.java,org.springframework.batch.item.file.SimpleResourceSuffixCreatorTests,testGetSuffix/0,false,30,1,0,0,0,1,2,5,0,0,0,2,0,0,0,0,0,0,3,3,0,0,0,0,0,0,5,0,0,false
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\main\java\org\springframework\batch\core\configuration\xml\SplitParser.java,org.springframework.batch.core.configuration.xml.SplitParser,"parse/2[org.w3c.dom.Element,org.springframework.batch.core.configuration.xml.ParserContext]",false,68,12,6,1,5,6,17,37,1,12,2,17,0,0,1,0,0,0,11,3,12,2,3,0,0,0,71,1,2,true
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\main\java\org\springframework\batch\core\configuration\xml\SplitParser.java,org.springframework.batch.core.configuration.xml.SplitParser,SplitParser/1[java.lang.String],true,56,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,1,0,true
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\EntityTests.java,org.springframework.batch.core.EntityTests,testGetVersion/0,false,48,1,0,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\EntityTests.java,org.springframework.batch.core.EntityTests,testEqualsSelf/0,false,72,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\EntityTests.java,org.springframework.batch.core.EntityTests,testIncrementVersion/0,false,53,1,0,0,0,1,4,4,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,false
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\EntityTests.java,org.springframework.batch.core.EntityTests,testEqualsEntityWithNullId/0,false,83,2,0,0,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,false
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\EntityTests.java,org.springframework.batch.core.EntityTests,testEqualsEntityWrongId/0,false,94,2,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,false
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\EntityTests.java,org.springframework.batch.core.EntityTests,testEqualsEntity/0,false,89,2,0,0,0,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\EntityTests.java,org.springframework.batch.core.EntityTests,testEqualsNull/0,false,104,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\EntityTests.java,org.springframework.batch.core.EntityTests,testEqualsObject/0,false,99,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,false
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\EntityTests.java,org.springframework.batch.core.EntityTests,testHashCode/0,false,35,2,0,0,0,1,4,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
