file,class,method,variable,usage
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\test\repository\MySQLJdbcJobRepositoryIntegrationTests.java,org.springframework.batch.core.test.repository.MySQLJdbcJobRepositoryIntegrationTests$TestConfiguration,dataSource/0,datasource,5
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\test\repository\MySQLJdbcJobRepositoryIntegrationTests.java,org.springframework.batch.core.test.repository.MySQLJdbcJobRepositoryIntegrationTests$TestConfiguration,transactionManager/1[javax.sql.DataSource],dataSource,1
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\test\repository\MySQLJdbcJobRepositoryIntegrationTests.java,org.springframework.batch.core.test.repository.MySQLJdbcJobRepositoryIntegrationTests$TestConfiguration,conversionService/0,dateFormat,2
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\test\repository\MySQLJdbcJobRepositoryIntegrationTests.java,org.springframework.batch.core.test.repository.MySQLJdbcJobRepositoryIntegrationTests$TestConfiguration,conversionService/0,e,1
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\test\repository\MySQLJdbcJobRepositoryIntegrationTests.java,org.springframework.batch.core.test.repository.MySQLJdbcJobRepositoryIntegrationTests$TestConfiguration,conversionService/0,conversionService,3
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\test\repository\MySQLJdbcJobRepositoryIntegrationTests.java,org.springframework.batch.core.test.repository.MySQLJdbcJobRepositoryIntegrationTests$TestConfiguration,conversionService/0,source,1
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\test\repository\MySQLJdbcJobRepositoryIntegrationTests.java,org.springframework.batch.core.test.repository.MySQLJdbcJobRepositoryIntegrationTests$TestConfiguration,"job/2[org.springframework.batch.core.test.repository.JobRepository,org.springframework.batch.core.test.repository.PlatformTransactionManager]",contribution,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\test\repository\MySQLJdbcJobRepositoryIntegrationTests.java,org.springframework.batch.core.test.repository.MySQLJdbcJobRepositoryIntegrationTests$TestConfiguration,"job/2[org.springframework.batch.core.test.repository.JobRepository,org.springframework.batch.core.test.repository.PlatformTransactionManager]",chunkContext,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\test\repository\MySQLJdbcJobRepositoryIntegrationTests.java,org.springframework.batch.core.test.repository.MySQLJdbcJobRepositoryIntegrationTests$TestConfiguration,"job/2[org.springframework.batch.core.test.repository.JobRepository,org.springframework.batch.core.test.repository.PlatformTransactionManager]",transactionManager,1
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\test\repository\MySQLJdbcJobRepositoryIntegrationTests.java,org.springframework.batch.core.test.repository.MySQLJdbcJobRepositoryIntegrationTests$TestConfiguration,"job/2[org.springframework.batch.core.test.repository.JobRepository,org.springframework.batch.core.test.repository.PlatformTransactionManager]",jobRepository,2
C:\Users\All Five Projects\spring-batch-main\spring-batch-samples\src\main\java\org\springframework\batch\samples\file\multirecordtype\DelegatingTradeLineAggregator.java,org.springframework.batch.samples.file.multirecordtype.DelegatingTradeLineAggregator,aggregate/1[java.lang.Object],item,4
C:\Users\All Five Projects\spring-batch-main\spring-batch-samples\src\main\java\org\springframework\batch\samples\file\multirecordtype\DelegatingTradeLineAggregator.java,org.springframework.batch.samples.file.multirecordtype.DelegatingTradeLineAggregator,setTradeLineAggregator/1[org.springframework.batch.samples.file.multirecordtype.LineAggregator<org.springframework.batch.samples.domain.trade.Trade>],tradeLineAggregator,2
C:\Users\All Five Projects\spring-batch-main\spring-batch-samples\src\main\java\org\springframework\batch\samples\file\multirecordtype\DelegatingTradeLineAggregator.java,org.springframework.batch.samples.file.multirecordtype.DelegatingTradeLineAggregator,setCustomerLineAggregator/1[org.springframework.batch.samples.file.multirecordtype.LineAggregator<org.springframework.batch.samples.domain.trade.CustomerCredit>],customerLineAggregator,2
C:\Users\All Five Projects\spring-batch-main\spring-batch-samples\src\main\java\org\springframework\batch\samples\jpa\CustomerCreditPagingAndSortingRepository.java,org.springframework.batch.samples.jpa.CustomerCreditPagingAndSortingRepository,"findByCreditGreaterThan/2[java.math.BigDecimal,org.springframework.batch.samples.jpa.Pageable]",request,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-samples\src\main\java\org\springframework\batch\samples\jpa\CustomerCreditPagingAndSortingRepository.java,org.springframework.batch.samples.jpa.CustomerCreditPagingAndSortingRepository,"findByCreditGreaterThan/2[java.math.BigDecimal,org.springframework.batch.samples.jpa.Pageable]",credit,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\main\java\org\springframework\batch\core\configuration\xml\SplitParser.java,org.springframework.batch.core.configuration.xml.SplitParser,"parse/2[org.w3c.dom.Element,org.springframework.batch.core.configuration.xml.ParserContext]",flowElements,2
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\main\java\org\springframework\batch\core\configuration\xml\SplitParser.java,org.springframework.batch.core.configuration.xml.SplitParser,"parse/2[org.w3c.dom.Element,org.springframework.batch.core.configuration.xml.ParserContext]",taskExecutorBeanId,2
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\main\java\org\springframework\batch\core\configuration\xml\SplitParser.java,org.springframework.batch.core.configuration.xml.SplitParser,"parse/2[org.w3c.dom.Element,org.springframework.batch.core.configuration.xml.ParserContext]",prefix,3
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\main\java\org\springframework\batch\core\configuration\xml\SplitParser.java,org.springframework.batch.core.configuration.xml.SplitParser,"parse/2[org.w3c.dom.Element,org.springframework.batch.core.configuration.xml.ParserContext]",taskExecutorRef,1
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\main\java\org\springframework\batch\core\configuration\xml\SplitParser.java,org.springframework.batch.core.configuration.xml.SplitParser,"parse/2[org.w3c.dom.Element,org.springframework.batch.core.configuration.xml.ParserContext]",i,3
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\main\java\org\springframework\batch\core\configuration\xml\SplitParser.java,org.springframework.batch.core.configuration.xml.SplitParser,"parse/2[org.w3c.dom.Element,org.springframework.batch.core.configuration.xml.ParserContext]",ref,2
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\main\java\org\springframework\batch\core\configuration\xml\SplitParser.java,org.springframework.batch.core.configuration.xml.SplitParser,"parse/2[org.w3c.dom.Element,org.springframework.batch.core.configuration.xml.ParserContext]",flowDefinition,3
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\main\java\org\springframework\batch\core\configuration\xml\SplitParser.java,org.springframework.batch.core.configuration.xml.SplitParser,"parse/2[org.w3c.dom.Element,org.springframework.batch.core.configuration.xml.ParserContext]",flows,3
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\main\java\org\springframework\batch\core\configuration\xml\SplitParser.java,org.springframework.batch.core.configuration.xml.SplitParser,"parse/2[org.w3c.dom.Element,org.springframework.batch.core.configuration.xml.ParserContext]",idAttribute,1
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\main\java\org\springframework\batch\core\configuration\xml\SplitParser.java,org.springframework.batch.core.configuration.xml.SplitParser,"parse/2[org.w3c.dom.Element,org.springframework.batch.core.configuration.xml.ParserContext]",flowParser,1
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\main\java\org\springframework\batch\core\configuration\xml\SplitParser.java,org.springframework.batch.core.configuration.xml.SplitParser,"parse/2[org.w3c.dom.Element,org.springframework.batch.core.configuration.xml.ParserContext]",propertyValues,1
